Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Due Date,Votes,Description,Environment,Watchers,Log Work,Log Work,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Relates),Custom field (Account),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Iteration),Custom field (Rank),Sprint,Custom field (Story Points),Custom field (Team),Custom field (Team Role)
Karma admin app adds new activities for user,KAR-66,11036,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,29/Aug/19 11:54 AM,09/Nov/19 9:46 AM,12/Nov/19 10:38 AM,09/Nov/19 9:46 AM,Server side,,07/Nov/19 12:00 AM,0,Karma admin app adds new activities for user,,sarangibalu.a,,,,,,,,,3600,900,3300,,KAR-1,,,,KAR-64,,,,"0|i0004b:",KAR Sprint 2,,,
Swaggering karma service and add logic to get all challenges,KAR-398,15106,11036,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,08/Nov/19 4:38 PM,09/Nov/19 9:45 AM,09/Nov/19 9:45 AM,09/Nov/19 9:45 AM,Server side,,08/Nov/19 12:00 AM,0,Swaggering karma service and add logic to get all challenges,,sarangibalu.a,"Done;08/Nov/19 4:38 PM;sarangibalu.a;900","Done;08/Nov/19 4:51 PM;sarangibalu.a;600",,,900,0,1500,166%,900,0,1500,,KAR-66,,,,,,,,"0|i00urb:",KAR Sprint 2,,,
Refactoring committed activity aggregate model and Swagger karma gateway to karma service,KAR-384,15006,11055,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,07/Nov/19 12:02 PM,07/Nov/19 12:39 PM,08/Nov/19 10:09 AM,07/Nov/19 12:39 PM,Server side,,07/Nov/19 12:00 AM,0,Refactoring committed activity aggregate model and Swagger karma gateway to karma service,,sarangibalu.a,"Done;07/Nov/19 12:39 PM;sarangibalu.a;2220",,,,3600,1380,2220,61%,3600,1380,2220,,KAR-68,,,,,,,,"0|i00u5b:",KAR Sprint 2,,,
Swagger karma gateway to karma service,KAR-383,15005,11036,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,07/Nov/19 11:57 AM,07/Nov/19 11:57 AM,07/Nov/19 11:57 AM,07/Nov/19 11:57 AM,Server side,,,0,Swagger karma gateway to karma service,,sarangibalu.a,"Done;07/Nov/19 11:57 AM;sarangibalu.a;900",,,,900,0,900,100%,900,0,900,,KAR-66,,,,,,,,"0|i00u53:",KAR Sprint 2,,,
Add logic to create new activities for user,KAR-382,15004,11036,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,07/Nov/19 11:55 AM,07/Nov/19 11:56 AM,07/Nov/19 11:57 AM,07/Nov/19 11:56 AM,Server side,,,0,Add logic to create new activities for user,,sarangibalu.a,"Done;07/Nov/19 11:55 AM;sarangibalu.a;900",,,,1800,900,900,50%,1800,900,900,,KAR-66,,,,,,,,"0|i00u4v:",KAR Sprint 2,,,
"As a user, I wish to manage my profile",KAR-4,10020,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sanilkumar.p,sarangibalu.a,sarangibalu.a,07/Aug/19 10:24 AM,07/Nov/19 12:49 AM,12/Nov/19 10:38 AM,07/Nov/19 12:49 AM,Use cases,,07/Oct/19 12:00 AM,0,,,sarangibalu.a,,,,,14400,14400,0,0%,48600,19620,28980,,,,,,KAR-65,,,,"0|i0003y:",KAR Sprint 2,,,
Swaggering user response service and adding the logic's ,KAR-377,14963,11056,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,06/Nov/19 7:01 PM,06/Nov/19 7:02 PM,12/Nov/19 10:38 AM,06/Nov/19 7:01 PM,Server side,,,0,Swaggering user response service and adding the logic's,,sarangibalu.a,"Done;06/Nov/19 7:01 PM;sarangibalu.a;1800",,,,1800,0,1800,100%,1800,0,1800,,KAR-69,,,,,,,,"0|i00tvr:",KAR Sprint 2,,,
Load registered user by id to karma-app,KAR-366,14921,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,06/Nov/19 12:10 PM,06/Nov/19 3:28 PM,08/Nov/19 9:56 AM,06/Nov/19 3:28 PM,Server side,,06/Nov/19 12:00 AM,0,Load registered user by id to karma-app,,sarangibalu.a,,,,,3600,3600,,0%,9900,3600,10080,,KAR-1,,,,KAR-1,,,,"0|i00tmf:",KAR Sprint 2,,,
Add the logic to see the number of completed tasks of user,KAR-367,14923,14921,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,06/Nov/19 12:22 PM,06/Nov/19 3:26 PM,12/Nov/19 10:38 AM,06/Nov/19 3:26 PM,Server side,,06/Nov/19 12:00 AM,0,Add the logic to see the number of completed tasks of user,,sarangibalu.a,"Done;06/Nov/19 3:22 PM;sarangibalu.a;6480",,,,3600,0,6480,180%,3600,0,6480,,KAR-366,,,,,,,,"0|i00tmv:",KAR Sprint 2,,,
Design new  nice looking UI for profile,KAR-19,10139,10020,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sanilkumar.p,sarangibalu.a,sarangibalu.a,14/Aug/19 10:22 AM,06/Nov/19 1:41 PM,12/Nov/19 10:38 AM,06/Nov/19 1:41 PM,User Interface,,19/Aug/19 12:00 AM,0,Design new nice looking UI for profile,,sarangibalu.a,"basic layout created;06/Nov/19 1:41 PM;sanilkumar.p;14400",,,,14400,0,14400,100%,14400,0,14400,,KAR-4,,,,,,,,"0|i000s7:",KAR Sprint 2,,,
Create model for registered user,KAR-371,14927,14921,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,06/Nov/19 12:33 PM,06/Nov/19 12:56 PM,12/Nov/19 10:38 AM,06/Nov/19 12:56 PM,Server side,,06/Nov/19 12:00 AM,0,Create model for registered user,,sarangibalu.a,"Done;06/Nov/19 12:56 PM;sarangibalu.a;1800",,,,900,0,1800,200%,900,0,1800,,KAR-366,,,,,,,,"0|i00tnr:",KAR Sprint 2,,,
Add the logic to see the registered user full details by id,KAR-370,14926,14921,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,06/Nov/19 12:28 PM,06/Nov/19 12:55 PM,12/Nov/19 10:38 AM,06/Nov/19 12:55 PM,Server side,,06/Nov/19 12:00 AM,0,Add the logic to see the registered user full details by id,,sarangibalu.a,"Done;06/Nov/19 12:55 PM;sarangibalu.a;1800",,,,1800,0,1800,100%,1800,0,1800,,KAR-366,,,,,,,,"0|i00tnj:",KAR Sprint 2,,,
"As a admin, I wish to see all the activities",KAR-234,12880,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,anjali.chandran,29/Sep/19 1:00 PM,06/Nov/19 12:07 PM,12/Nov/19 10:38 AM,06/Nov/19 12:06 PM,Server side,,06/Nov/19 12:00 AM,0,"As a admin, I wish to see all the activities",,,,,,,10800,10800,,0%,14400,10800,3780,,KAR-2,,,,KAR-67,,,,"0|i00h9j:",KAR Sprint 2,,,
Add the logic to see all activities ,KAR-365,14920,12880,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,06/Nov/19 10:48 AM,06/Nov/19 12:05 PM,12/Nov/19 10:38 AM,06/Nov/19 12:05 PM,Server side,,06/Nov/19 12:00 AM,0,Add the logic to see all activities,,sarangibalu.a,"Done;06/Nov/19 12:05 PM;sarangibalu.a;3780",,,,3600,0,3780,104%,3600,0,3780,,KAR-234,,,,,,,,"0|i00tm7:",KAR Sprint 2,,,
"As a user, I wish to post the completed challenges on home page, like and comment other's activities    ",KAR-7,10023,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sanilkumar.p,sarangibalu.a,sarangibalu.a,07/Aug/19 10:26 AM,05/Nov/19 8:03 PM,12/Nov/19 10:38 AM,05/Nov/19 8:03 PM,Use cases,,06/Nov/19 12:00 AM,0,find the happiness challenges ,,sarangibalu.a,,,,,,,,,,,,,,,,pink,KAR-65,UserResponse,,,"0|i0003z:",KAR Sprint 2,,,
Swaggering karma service and adding the logic's ,KAR-356,14754,11056,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Highest,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,01/Nov/19 1:56 PM,01/Nov/19 1:56 PM,12/Nov/19 10:38 AM,01/Nov/19 1:56 PM,Server side,,,0,Swaggering karma service and adding the logic's,,sarangibalu.a,"Done;01/Nov/19 1:56 PM;sarangibalu.a;3300",,,,3600,300,3300,91%,3600,300,3300,,KAR-69,,,,,,,,"0|i00smf:",KAR Sprint 2,,,
Swagger karma gateway to karma service,KAR-315,14002,11055,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,High,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,22/Oct/19 12:43 PM,22/Oct/19 4:32 PM,12/Nov/19 10:38 AM,22/Oct/19 4:32 PM,Server side,,,0,Swagger karma gateway to karma service,,sarangibalu.a,"completed;22/Oct/19 4:32 PM;sarangibalu.a;10020",,,,10800,780,10020,92%,10800,780,10020,,KAR-68,,,,,,,,"0|i00o47:",KAR Sprint 2,,,
Align posted user info and time in proper manner,KAR-207,12595,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,High,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,25/Sep/19 11:12 PM,26/Sep/19 10:52 PM,12/Nov/19 10:38 AM,26/Sep/19 10:52 PM,,,,0,,,,"Problem with transparent background faced;26/Sep/19 1:40 PM;sanilkumar.p;9360",,,,10800,1440,9360,86%,10800,1440,9360,,,,,,,,,,"0|i00fif:",KAR Sprint 2,,,
"As a user, I wish to set my role model by adding required characteristics when opening the app first time",KAR-56,10917,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,28/Aug/19 12:48 PM,07/Nov/19 5:08 PM,12/Nov/19 10:38 AM,07/Nov/19 5:08 PM,Use cases,,05/Nov/19 12:00 AM,0,,,,,,,,,,,,12600,240,12360,,,,,,KAR-65,,,,"0|i0003z:1",KAR Sprint 2,,,
Design page to add a role model,KAR-381,14970,10917,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,07/Nov/19 8:31 AM,07/Nov/19 5:07 PM,12/Nov/19 10:38 AM,07/Nov/19 5:07 PM,,,,0,,,,"Role model is created with ionic grid;07/Nov/19 5:07 PM;sanilkumar.p;12360",,,,12600,240,12360,98%,12600,240,12360,,,,,,,,,,"0|i00txb:",KAR Sprint 2,,,
"As a user, he sees other users committed activities with like,comments,replies ",KAR-62,10946,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,sarangibalu.a,sarangibalu.a,28/Aug/19 2:38 PM,07/Nov/19 12:42 PM,07/Nov/19 2:00 PM,07/Nov/19 12:42 PM,Use cases,,04/Nov/19 12:00 AM,0,,,sarangibalu.a,,,,,,,,,216900,23880,196140,,KAR-61,,,,KAR-65,,,,"0|i005hz:",KAR Sprint 2,,,
Loads user specific activities for the KarmaApp,KAR-68,11055,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,29/Aug/19 2:29 PM,07/Nov/19 12:42 PM,07/Nov/19 12:42 PM,07/Nov/19 12:42 PM,Server side,,,0,Loads user specific activities for the KarmaApp,,sarangibalu.a,,,,,,,,,46800,2160,74880,,KAR-64,,,ghx-label-10,KAR-64,Loads user specific activities for the KarmaApp,To Do,,"0|i0003z:4",KAR Sprint 2,,,
Show committed activities of different statuses in profile page,KAR-378,14967,10020,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,06/Nov/19 11:15 PM,07/Nov/19 12:49 AM,12/Nov/19 10:38 AM,07/Nov/19 12:49 AM,,,,0,,,,";06/Nov/19 11:15 PM;sanilkumar.p;1380","Basic ui completed;07/Nov/19 12:34 AM;sanilkumar.p;3360",,,5400,660,4740,87%,5400,660,4740,,,,,,,,,,"0|i00twn:",KAR Sprint 2,,,
Create logic to generate dynamic grids,KAR-379,14968,10020,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sanilkumar.p,sanilkumar.p,sanilkumar.p,06/Nov/19 11:16 PM,06/Nov/19 11:37 PM,12/Nov/19 10:38 AM,06/Nov/19 11:37 PM,,,,0,,,,"Got logic by using two arrays
refer: https://blog.ionicframework.com/layout-the-cool-way-using-the-ionic-2-grid-component/;06/Nov/19 11:37 PM;sanilkumar.p;720",,,,1800,1080,720,40%,1800,1080,720,,,,,,,,,,"0|i00twv:",KAR Sprint 2,,,
Loads profile of the user for the Karma app,KAR-69,11056,,Story,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,29/Aug/19 2:37 PM,06/Nov/19 7:01 PM,12/Nov/19 10:38 AM,02/Nov/19 12:22 PM,Server side,,04/Nov/19 12:00 AM,0,Loads profile of the user for the Karma app,,sarangibalu.a,"Done;29/Oct/19 4:46 PM;sarangibalu.a;6180",,,,0,0,6180,"9,223,372,036,854,775,807%",16200,1380,21000,,KAR-64,,,,KAR-64,,,,"0|i0003z:9",KAR Sprint 2,,,
Get registered user full details by user Id ,KAR-349,14547,11056,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,sarangibalu.a,sarangibalu.a,sarangibalu.a,30/Oct/19 12:52 PM,06/Nov/19 6:59 PM,12/Nov/19 10:38 AM,06/Nov/19 6:59 PM,Server side,,,0,Get user by userId with profilepic,,sarangibalu.a,"Done;30/Oct/19 12:52 PM;sarangibalu.a;7920","Done;06/Nov/19 6:59 PM;sarangibalu.a;1800",,,10800,1080,9720,90%,10800,1080,9720,,KAR-69,,,,,,,,"0|i00rcn:",KAR Sprint 2,,,
Implementing logic to format time to get needed format,KAR-374,14958,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,muhammed.ruhail,muhammed.ruhail,06/Nov/19 4:46 PM,06/Nov/19 4:46 PM,12/Nov/19 10:38 AM,06/Nov/19 4:46 PM,,,,0,,,,";06/Nov/19 4:46 PM;muhammed.ruhail;4800",,,,7200,2400,4800,66%,7200,2400,4800,,,,,,,,,,"0|i00tun:",KAR Sprint 2,,,
Binding data with commentDTO from comment form to save comment,KAR-369,14925,10946,Sub-task,Done,KAR,Karma,software,ranjit.gupta,,,Medium,Done,muhammed.ruhail,muhammed.ruhail,muhammed.ruhail,06/Nov/19 12:25 PM,06/Nov/19 4:44 PM,12/Nov/19 10:38 AM,06/Nov/19 4:44 PM,,,,0,,,,";06/Nov/19 12:25 PM;muhammed.ruhail;8400","not completedyet
;06/Nov/19 1:13 PM;muhammed.ruhail;2760",,,10800,0,11160,103%,10800,0,11160,,,,,,,,,,"0|i00tnb:",KAR Sprint 2,,,
